Date,Time,Company,Position,Resume_File,PDF_File,Status,Notes
2025-09-05,18:34:37,Tesla,Optimus Simulation,resume_tesla-optimus-simulation.html,resume_tesla-optimus-simulation.pdf,PDF Created,Auto-generated from tesla-optimus-simulation
2025-09-05,18:58:44,Tesla,Optimus Simulation,../Resume/HTMLs\resume_tesla-optimus-simulation.html,../Resume/To_Apply\resume_tesla-optimus-simulation.pdf,PDF Created,Auto-generated from tesla-optimus-simulation
2025-09-05,19:33:21,Tesla,Ai Ml Intern Fall2025,../Resume/HTMLs\resume_tesla-ai-ml-intern-fall2025.html,../Resume/To_Apply\resume_tesla-ai-ml-intern-fall2025.pdf,PDF Created,Auto-generated from tesla-ai-ml-intern-fall2025
2025-09-05,19:45:18,Cognitiv,Ml Engineer Intern,../Resume/HTMLs\resume_cognitiv-ml-engineer-intern.html,../Resume/To_Apply\resume_cognitiv-ml-engineer-intern.pdf,PDF Created,Auto-generated from cognitiv-ml-engineer-intern
2025-09-05,19:55:19,Lyft,Data Science Algorithms Intern,../Resume/HTMLs\resume_lyft-data-science-algorithms-intern.html,../Resume/To_Apply\resume_lyft-data-science-algorithms-intern.pdf,PDF Created,Auto-generated from lyft-data-science-algorithms-intern
2025-09-05,20:04:26,Cna,Ai Engineering Tech Intern,../Resume/HTMLs/resume_cna-ai-engineering-tech-intern.html,../Resume/To_Apply/resume_cna-ai-engineering-tech-intern.pdf,PDF Created,Auto-generated from cna-ai-engineering-tech-intern
